abrupt (adj)	Sudden (adj); Suddenly (adv)
absence (n)	None (pron); Not (adv); No (adj)
absent (adj)	Missing (adj); No (adj)
absolutely (adv)	Fully (adv)
absorption (n)	Absorb (v)
abundant (adj)	Large (adj)
abut (v)	Touch (v)
accelerate (v)	Increase (v); Faster (adj)
acceptable (adj)	Permitted (adj); Satisfactory (adj); Serviceable (adj)
acceptance (n)	Accept (v)
accessible (adj)	Access (n)
accommodate (v)	Let (v)
accomplish (v)	Do (v); Complete (v)
according to	Refer (v)
account for (v)	Make Sure (v)
accumulate (v)	Collect (v)
accumulation (n)	Quantity (n); Collect (v)
accuracy (n)	Precision (n)
achieve (v)	Get (v)
acquire (v)	Get (v)
acrid (adj)	Dangerous (adj)
act (v)	
action (n)	Step (n); Procedure (n); Task (n)
activity (n)	Task (n); Procedure (n); Work (n)
actuate (v)	Start (v); Operate (v); Push (v)
actuation (n)	Operation (n)
addition (n)	Add (v)
additional (adj)	More (adj)
adequate (adj)	Sufficient (adj)
adhere (v)	Bond (v); Obey (v)
adhesion (n)	Bond (n)
adjoining (adj)	Adjacent (adj)
admit (v)	Let (v)
adopt (v)	Use (v)
advance (n)	Forward (adj)
advance (v)	Set (v); Forward (adv)
adverse (adj)	Bad (adj)
advisable (adj)	Recommend (v)
advise (v)	Tell (v); Recommend (v)
affect (v)	Effect (n)
aggravate (v)	Increase (v)
agitate (v)	Shake (v)
agitation (n)	Shake (v)
ahead (adv)	Forward (adv)
aid (v)	Help (v)
aim (v)	Point (v)
air-dry (v)	Dry (v)
alert (v)	Tell (v)
alignment (n)	Align (v)
allocate (v)	Give (v)
allow (v)	Let (v)
allowable (adj)	Permitted (adj); Approved (adj)
already (adv)	In Progress (adv)
alter (v)	Change (v)
alteration (n)	Change (v)
alternate (adj)	Alternative (adj)
alternate (v)	Then (adv)
alternately (adv)	In One (TN)
alternatively (adv)	Alternative (n)
amend (v)	Change (v)
amendment (n)	Change (n); Change (v)
among (prep)	In (prep)
amount (n)	Quantity (n)
analyze (v)	Analysis (TN)
anchor (v)	Attach (v)
ancillary (adj)	Auxiliary (adj); Secondary (adj)
annotation (n)	Write (v); Record (v)
annunciate (v)	Show (v)
another (adj)	One (TN); Different (adj); Again (adv)
any (adj)	
any (pron)	One (TN)
anytime (adv)	When (conj)
aperture (n)	Opening (n)
apparent (adj)	See (v); Find (v)
appear (v)	Show (v); View (n); Think (v); Possible (adj)
application (n)	Apply (v)
appoint (v)	Tell (v)
approach (v)	
appropriate (adj)	Applicable (adj)
approve (v)	Approval (n)
arise (v)	Occur (v); Cause (v)
arrange (v)	Put (v)
arrangement (n)	Configuration (TN); Prepare (v)
arrest (v)	Stop (v); Hold (v)
arrive (v)	Get (v)
article (n)	Object (n)
as (conj)	Because (conj); While (conj)
ascertain (v)	Make Sure (v)
ask (v)	Tell (v); Speak (v)
assess (v)	Calculate (v); Estimate (n)
assessment (n)	Estimate (n); Calculate (v)
assign (v)	Give (v)
assist (v)	Help (v)
assistance (n)	Aid (n); Help (v)
associated (adj)	Correct (adj); Related (adj); Its (adj); Their (adj)
assume (v)	Think (v)
assure (v)	Make Sure (v)
as to (prep)	About (prep)
asymmetric (adj)	
attachment (n)	Attach (v)
attain (v)	Show (v); Be (v); Get (v)
attempt (n)	Try (v)
attempt (v)	Try (v)
attention (n)	Aid (n); Careful (adj); Monitor (v)
audible (adj)	Hear (v); Listen (v)
augment (v)	Increase (v)
aurally (adv)	Listen (v); Hear (v)
authentic (adj)	Accurate (adj)
authorized (adj)	Approved (adj)
avert (v)	Prevent (v)
avoid (v)	Prevent (v)
aware (adj)	Know (v); Tell (v)
back (adj)	Rear (adj)
back (n)	Rear (n)
